sector,tic_id,windows,status
65,293225274,100,kept
65,394699386,100,kept
65,55478693,100,kept
65,340095862,100,kept
65,210705384,100,kept
65,906675551,100,kept
66,177308369,100,kept
66,337884304,100,kept
66,63866514,100,kept
66,383298365,100,kept
66,410365000,100,kept
66,382075815,100,kept
66,405962549,100,kept
66,314829796,100,kept
66,279056085,100,kept
66,424953530,100,kept
67,8194633,100,kept
67,31695387,100,kept
67,6766215,100,kept
67,389422644,100,kept
67,320847025,100,kept
67,354845167,100,kept
67,41232835,100,kept
67,426016973,100,kept
67,323434598,100,kept
67,113583379,100,kept
68,276861788,100,kept
68,2026166992,100,kept
68,394585107,100,kept
68,152282273,100,kept
68,150141471,100,kept
68,149540525,100,kept
68,737292010,100,kept
68,303909865,100,kept
68,278867172,100,kept
68,220500424,100,kept
69,631470041,100,kept
69,102033436,100,kept
69,229157718,100,kept
69,2051769159,100,kept
69,234491752,100,kept
69,141809220,100,kept
69,2055522213,100,kept
69,155913741,100,kept
70,97327264,100,kept
70,257841714,100,kept
70,611095155,100,kept
70,113922031,100,kept
70,176058549,100,kept
70,434105513,100,kept
70,52159035,100,kept
70,2052838394,100,kept
70,251022039,100,kept
70,398572591,100,kept
71,411699546,100,kept
71,346593111,100,kept
71,432995592,100,kept
71,800797537,100,kept
71,434260027,100,kept
71,443886550,100,kept
71,2778177,100,kept
71,1755406,100,kept
71,18544371,100,kept
71,293513505,100,kept
72,842245207,100,kept
72,372616849,100,kept
72,281930144,100,kept
72,46298321,100,kept
72,175240612,100,kept
72,455272199,100,kept
72,363478545,100,kept
72,17817705,100,kept
72,178267232,100,kept
72,60186038,100,kept
73,1001616446,100,kept
73,88569921,100,kept
73,264222798,100,kept
73,174826716,100,kept
73,2023856107,100,kept
73,704246579,100,kept
73,230084146,100,kept
73,468798516,100,kept
73,366872321,100,kept
73,229650439,100,kept
74,1717416294,100,kept
74,743511939,100,kept
74,123091906,100,kept
74,158729099,100,kept
74,138097784,100,kept
74,169462917,100,kept
74,164522394,100,kept
74,355807717,100,kept
74,219857012,100,kept
74,273866337,100,kept
75,950551413,100,kept
75,285888275,100,kept
75,1969294113,100,kept
75,359499459,100,kept
75,27845677,100,kept
75,1883474589,100,kept
75,154093124,100,kept
75,1102450922,100,kept
75,1976868476,100,kept
75,380407422,100,kept
76,1981140374,100,kept
76,364819893,100,kept
76,383673767,100,kept
76,232563914,100,kept
76,154383461,100,kept
